"gene","cor","p.value","p.adj","gene_symbol"
"ENSG00000182325.11",0.117129827134136,0.00868502059191955,0.02609582146953,"TMEM259"
"ENSG00000261399.1",0.117126444252776,0.00868696696105183,0.026100293404044,"AC106028.2"
"ENSG00000251022.6",0.117119151294162,0.00869116434808895,0.0261115277717208,"HMGB1P21"
"ENSG00000228615.1",0.117116238819769,0.00869284109753123,0.0261147404768601,"AL445686.1"
"ENSG00000003096.14",0.117115701793328,0.0086931503021197,0.0261147404768601,"M6PR"
"ENSG00000270401.1",0.117111857685409,0.0086953639165515,0.0261200132494607,"RSL24D1P9"
"ENSG00000057149.16",0.117109469253524,0.00869673953862031,0.0261227683526686,"GYG2"
"ENSG00000254596.1",0.117101944840432,0.0087010745069956,0.0261330342864809,"Y_RNA"
"ENSG00000203416.3",0.117097061587498,0.0087038888790449,0.0261401092192514,"SNORA72"
"ENSG00000142615.8",0.117084390061333,0.00871119566100457,0.0261592959135547,"TM4SF5"
"ENSG00000273252.1",0.117082100899426,0.00871251624308705,0.0261618828018204,"AC008751.1"
"ENSG00000255622.3",0.117072060698377,0.0087183103867353,0.0261765225074594,"JCHAINP1"
"ENSG00000100889.12",0.117063853206128,0.00872304943450597,0.0261893714014218,"SRP54"
"ENSG00000234445.1",0.117062335297454,0.00872392613413355,0.0261906235536915,"AC092423.1"
